#=====================================================
# File created:        Sun-10-Mar-2024-at-03-06-33PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.041721
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2423.9730  0.2583 
   00001    0.6908   -3695.2045  0.2649 
   00002    0.6216   -4499.7463  0.2621 
   00003    0.5864   -5057.6965  0.2601 
   00004    0.5464   -5501.0743  0.2619 
   00005    0.5424   -5842.0810  0.2625 
   00006    0.5272   -6142.6405  0.2685 
   00007    0.4924   -6375.4834  0.2654 
   00008    0.4936   -6561.5296  0.2620 
   00009    0.4780   -6715.1804  0.2645 
   00010    0.4848   -6837.2485  0.2679 
   00011    0.4788   -6943.4075  0.2736 
   00012    0.4808   -6983.7733  0.2678 
   00013    0.4652   -7077.2867  0.2659 
   00014    0.4696   -7191.4012  0.2648 
   00015    0.4640   -7253.1053  0.2600 
   00016    0.4708   -7328.4224  0.2568 
   00017    0.4540   -7352.9906  0.2580 
   00018    0.4636   -7381.0269  0.2536 
   00019    0.4472   -7424.2308  0.2570 
   00020    0.4568   -7531.4509  0.2679 
   00021    0.4436   -7600.1549  0.2651 
   00022    0.4484   -7629.3199  0.2610 
   00023    0.4456   -7624.4079  0.2616 
   00024    0.4616   -7619.6184  0.2623 
   00025    0.4484   -7648.9219  0.2712 
   00026    0.4444   -7691.0228  0.2746 
   00027    0.4416   -7733.7974  0.2659 
   00028    0.4576   -7675.1866  0.2669 
   00029    0.4548   -7753.6428  0.2661 
   00030    0.4552   -7736.3873  0.2617 
   00031    0.4468   -7733.6056  0.2538 
   00032    0.4316   -7779.3189  0.2609 
   00033    0.4392   -7806.1686  0.2678 
   00034    0.4532   -7816.9306  0.2698 
   00035    0.4336   -7799.3757  0.2666 
   00036    0.4308   -7821.5707  0.2633 
   00037    0.4352   -7884.4695  0.2678 
   00038    0.4428   -7894.1925  0.2728 
   00039    0.4264   -7935.4992  0.2727 
   00040    0.4316   -7946.8105  0.2735 
   00041    0.4412   -7972.5434  0.2713 
   00042    0.4288   -7995.4771  0.2706 
   00043    0.4348   -8003.9098  0.2725 
   00044    0.4380   -7998.3171  0.2685 
   00045    0.4280   -8011.7937  0.2682 
   00046    0.4444   -8006.3865  0.2736 
   00047    0.4268   -8008.7528  0.2745 
   00048    0.4300   -7976.9612  0.2735 
   00049    0.4456   -7976.4412  0.2735 
   00050    0.4460   -7960.1734  0.2785 
