#=====================================================
# File created:        Wed-13-Mar-2024-at-03-24-16AM
# Size of lattice:     10x10
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        4.130895
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -77.2418  0.3253 
   00001    0.6300    -141.8946  0.3396 
   00002    0.5600    -183.1310  0.3804 
   00003    0.6600    -205.9399  0.3442 
   00004    0.5300    -216.5363  0.4021 
   00005    0.5000    -225.7394  0.4012 
   00006    0.5400    -246.0395  0.3886 
   00007    0.5600    -245.3830  0.3681 
   00008    0.5400    -254.0679  0.3662 
   00009    0.4800    -267.9819  0.3809 
   00010    0.5100    -277.8931  0.3350 
   00011    0.4800    -286.3506  0.3533 
   00012    0.4000    -293.9756  0.3503 
   00013    0.4600    -292.8793  0.3711 
   00014    0.4100    -298.3154  0.3783 
   00015    0.4300    -303.2268  0.4229 
   00016    0.4900    -301.6033  0.4415 
   00017    0.4700    -301.2038  0.4478 
   00018    0.4600    -300.5256  0.4790 
   00019    0.4000    -309.8268  0.5015 
   00020    0.4500    -308.7210  0.5634 
   00021    0.4700    -314.5007  0.5829 
   00022    0.4000    -317.0646  0.6373 
   00023    0.4800    -318.4785  0.6280 
   00024    0.4700    -312.6850  0.6131 
   00025    0.3900    -318.8220  0.6543 
   00026    0.5600    -321.9329  0.6711 
   00027    0.4000    -315.8653  0.6822 
   00028    0.4000    -320.3081  0.6856 
   00029    0.3100    -327.8920  0.7059 
   00030    0.3600    -322.9822  0.7422 
   00031    0.3900    -322.9336  0.7433 
   00032    0.4900    -332.6292  0.7581 
   00033    0.3900    -324.0764  0.7365 
   00034    0.4000    -330.4313  0.7339 
   00035    0.3800    -332.1895  0.7130 
   00036    0.3700    -331.7374  0.7038 
   00037    0.4900    -337.9997  0.7398 
   00038    0.3900    -337.5239  0.7519 
   00039    0.4200    -333.6383  0.7497 
   00040    0.3500    -338.4481  0.7542 
   00041    0.3900    -329.9149  0.7574 
   00042    0.4400    -328.0627  0.7357 
   00043    0.5100    -322.6461  0.7187 
   00044    0.4300    -327.5031  0.7279 
   00045    0.4100    -324.6904  0.7121 
   00046    0.4600    -320.4235  0.7309 
   00047    0.4200    -311.6401  0.7240 
   00048    0.3300    -314.2028  0.7100 
   00049    0.4300    -313.3252  0.6627 
   00050    0.4500    -321.5911  0.6831 
   00051    0.4800    -317.6152  0.6765 
   00052    0.4700    -317.5572  0.6987 
   00053    0.4100    -309.9001  0.7172 
   00054    0.4200    -310.1426  0.7112 
   00055    0.3900    -305.9397  0.7107 
   00056    0.4600    -307.7597  0.7166 
   00057    0.4800    -311.7956  0.7106 
   00058    0.4900    -331.4201  0.7384 
   00059    0.3700    -328.4938  0.7388 
   00060    0.3800    -330.6705  0.7501 
   00061    0.4200    -334.9526  0.7213 
   00062    0.4200    -329.4716  0.7176 
   00063    0.4600    -317.8050  0.7109 
   00064    0.3200    -318.9961  0.7303 
   00065    0.5000    -314.8477  0.7283 
   00066    0.4400    -306.0438  0.7041 
   00067    0.5000    -317.6839  0.7312 
   00068    0.4400    -318.1795  0.7334 
   00069    0.4800    -319.0286  0.7570 
   00070    0.5000    -322.7368  0.7515 
   00071    0.3900    -323.1461  0.7630 
   00072    0.4400    -322.2900  0.7610 
   00073    0.5200    -325.3767  0.7741 
   00074    0.5000    -314.1858  0.7764 
   00075    0.3900    -317.6433  0.7677 
   00076    0.3800    -311.4097  0.7636 
   00077    0.4700    -314.1378  0.7607 
   00078    0.3900    -309.1465  0.7485 
   00079    0.3900    -309.8768  0.7671 
   00080    0.3500    -311.4080  0.7679 
   00081    0.3400    -309.5199  0.7656 
   00082    0.4300    -322.8841  0.8051 
   00083    0.5900    -319.6319  0.8207 
   00084    0.3900    -321.3470  0.8363 
   00085    0.4600    -331.2906  0.8597 
   00086    0.3500    -335.0945  0.8715 
   00087    0.4200    -337.7963  0.8748 
