LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.292, Time: 2.724900 s
         1461196 function calls (1445815 primitive calls) in 3.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    294/1    0.002    0.000    3.254    3.254 {built-in method builtins.exec}
        1    0.000    0.000    3.254    3.254 LebwohlLasher.py:1(<module>)
        1    0.001    0.001    2.750    2.750 LebwohlLasher.py:257(main)
   377500    1.747    0.000    1.747    0.000 LebwohlLasher.py:131(one_energy)
       50    0.237    0.005    1.559    0.031 LebwohlLasher.py:210(MC_step)
       36    0.001    0.000    0.616    0.017 __init__.py:1(<module>)
       51    0.592    0.012    0.603    0.012 LebwohlLasher.py:182(get_order)
       51    0.028    0.001    0.585    0.011 LebwohlLasher.py:165(all_energy)
    357/3    0.002    0.000    0.504    0.168 <frozen importlib._bootstrap>:1165(_find_and_load)
    353/3    0.001    0.000    0.504    0.168 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    337/4    0.001    0.000    0.501    0.125 <frozen importlib._bootstrap>:666(_load_unlocked)
    853/7    0.000    0.000    0.501    0.072 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    285/4    0.001    0.000    0.501    0.125 <frozen importlib._bootstrap_external>:934(exec_module)
   442/15    0.000    0.000    0.467    0.031 {built-in method builtins.__import__}
   428/47    0.001    0.000    0.428    0.009 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.314    0.314 pyplot.py:1(<module>)
1119/1012    0.011    0.000    0.255    0.000 {built-in method builtins.__build_class__}
      105    0.001    0.000    0.194    0.002 artist.py:159(_update_set_signature_and_docstring)
      104    0.000    0.000    0.191    0.002 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.163    0.163 figure.py:1(<module>)
      117    0.000    0.000    0.148    0.001 artist.py:1837(kwdoc)
        1    0.000    0.000    0.128    0.128 colorbar.py:1(<module>)
      117    0.003    0.000    0.126    0.001 artist.py:1598(pprint_setters)
    94648    0.125    0.000    0.125    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
     4252    0.009    0.000    0.103    0.000 artist.py:1470(get_valid_values)
        1    0.000    0.000    0.080    0.080 contour.py:1(<module>)
        1    0.000    0.000    0.073    0.073 backend_bases.py:1(<module>)
     7306    0.045    0.000    0.070    0.000 inspect.py:867(cleandoc)
      349    0.002    0.000    0.067    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
     7315    0.004    0.000    0.067    0.000 inspect.py:848(getdoc)
      346    0.000    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      346    0.002    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      596    0.004    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.058    0.058 rcsetup.py:1(<module>)
        1    0.000    0.000    0.053    0.053 text.py:1(<module>)
      285    0.002    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
      223    0.000    0.000    0.050    0.000 artist.py:1422(__init__)
      223    0.008    0.000    0.050    0.000 artist.py:1442(get_aliases)
     1399    0.001    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1410    0.048    0.000    0.048    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.046    0.046 axes3d.py:1(<module>)
        1    0.000    0.000    0.045    0.045 _axes.py:1(<module>)
        1    0.000    0.000    0.043    0.043 collections.py:1(<module>)
      285    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      285    0.039    0.000    0.039    0.000 {built-in method marshal.loads}
     6802    0.004    0.000    0.038    0.000 __init__.py:272(_compile)
        1    0.000    0.000    0.037    0.037 _base.py:1(<module>)
        1    0.000    0.000    0.033    0.033 patches.py:1(<module>)
        1    0.000    0.000    0.032    0.032 colors.py:1(<module>)
      223    0.011    0.000    0.032    0.000 artist.py:1517(get_setters)
      210    0.001    0.000    0.031    0.000 _compiler.py:738(compile)
     5768    0.003    0.000    0.031    0.000 __init__.py:173(search)
        9    0.000    0.000    0.026    0.003 _base.py:729(__init_subclass__)
        1    0.000    0.000    0.026    0.026 art3d.py:1(<module>)
        1    0.000    0.000    0.023    0.023 _fontconfig_pattern.py:1(<module>)
        3    0.000    0.000    0.022    0.007 core.py:1(<module>)
      136    0.000    0.000    0.020    0.000 _docstring.py:38(__call__)
      210    0.001    0.000    0.020    0.000 _parser.py:972(parse)
  126/115    0.000    0.000    0.020    0.000 _docstring.py:79(__call__)
        1    0.000    0.000    0.020    0.020 Image.py:1(<module>)
  459/210    0.002    0.000    0.019    0.000 _parser.py:449(_parse_sub)
      650    0.000    0.000    0.018    0.000 inspect.py:3278(signature)
      650    0.000    0.000    0.017    0.000 inspect.py:3024(from_callable)
      223    0.009    0.000    0.017    0.000 artist.py:1453(<listcomp>)
       30    0.003    0.000    0.017    0.001 __init__.py:847(_rc_params_in_file)
      337    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
  498/215    0.007    0.000    0.017    0.000 _parser.py:509(_parse)
  714/650    0.003    0.000    0.017    0.000 inspect.py:2428(_signature_from_callable)
       12    0.000    0.000    0.016    0.001 _docstring.py:51(__missing__)
        1    0.000    0.000    0.016    0.016 multiarray.py:1(<module>)
    47/37    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
