#=====================================================
# File created:        Mon-11-Mar-2024-at-10-59-10PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.256186
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2470.9197  0.2509 
   00001    0.6808   -3697.5711  0.2566 
   00002    0.6440   -4392.9023  0.2640 
   00003    0.5980   -5018.8764  0.2695 
   00004    0.5652   -5489.4352  0.2750 
   00005    0.5312   -5862.3598  0.2822 
   00006    0.5128   -6157.8814  0.2872 
   00007    0.5068   -6390.1916  0.2855 
   00008    0.5020   -6577.1224  0.2869 
   00009    0.4908   -6728.5940  0.2790 
   00010    0.4920   -6848.6088  0.2765 
   00011    0.4816   -6990.8426  0.2705 
   00012    0.4880   -7048.8476  0.2738 
   00013    0.4720   -7154.9215  0.2830 
   00014    0.4660   -7252.3125  0.2928 
   00015    0.4740   -7355.2290  0.2936 
   00016    0.4380   -7426.2904  0.2935 
   00017    0.4408   -7501.7997  0.2950 
   00018    0.4688   -7560.2120  0.2941 
   00019    0.4408   -7623.4448  0.3010 
   00020    0.4372   -7667.5542  0.3036 
   00021    0.4464   -7658.9879  0.3031 
   00022    0.4496   -7743.4630  0.2982 
   00023    0.4284   -7734.1346  0.3030 
   00024    0.4352   -7753.3461  0.3077 
   00025    0.4616   -7778.2974  0.3179 
   00026    0.4296   -7776.3837  0.3183 
   00027    0.4372   -7836.3267  0.3234 
   00028    0.4584   -7846.3310  0.3270 
   00029    0.4276   -7892.7247  0.3268 
   00030    0.4196   -7962.4115  0.3300 
   00031    0.4380   -7952.1939  0.3256 
   00032    0.4316   -7971.5699  0.3344 
   00033    0.4400   -7988.8488  0.3358 
   00034    0.4392   -8010.9620  0.3463 
   00035    0.4292   -7977.9238  0.3441 
   00036    0.4384   -7971.5977  0.3408 
   00037    0.4480   -7977.7677  0.3444 
   00038    0.4436   -8030.8449  0.3431 
   00039    0.4372   -8065.0229  0.3412 
   00040    0.4232   -8039.1500  0.3417 
   00041    0.4456   -8060.0547  0.3399 
   00042    0.4372   -8069.3371  0.3425 
   00043    0.4156   -8073.1524  0.3381 
   00044    0.4376   -8001.9917  0.3353 
   00045    0.4316   -8034.9758  0.3352 
   00046    0.4408   -8041.4114  0.3287 
   00047    0.4388   -8052.6536  0.3288 
   00048    0.4304   -8080.9604  0.3307 
   00049    0.4324   -8039.9154  0.3312 
   00050    0.4144   -8064.0881  0.3335 
