#=====================================================
# File created:        Sat-09-Mar-2024-at-11-59-42AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.299171
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2427.0291  0.2684 
   00001    0.6800   -3648.5604  0.2727 
   00002    0.6164   -4498.7714  0.2866 
   00003    0.5932   -5070.9645  0.2900 
   00004    0.5768   -5553.5199  0.3057 
   00005    0.5372   -5876.8364  0.3116 
   00006    0.5052   -6117.1912  0.3083 
   00007    0.5292   -6312.4719  0.3114 
   00008    0.4876   -6461.0405  0.3133 
   00009    0.4788   -6581.3143  0.3146 
   00010    0.4600   -6735.6160  0.3169 
   00011    0.4856   -6875.3893  0.3098 
   00012    0.4760   -7064.3924  0.3048 
   00013    0.4724   -7195.4793  0.3105 
   00014    0.4688   -7287.6126  0.3102 
   00015    0.4696   -7348.6187  0.3140 
   00016    0.4352   -7447.4761  0.3203 
   00017    0.4556   -7525.1979  0.3276 
   00018    0.4536   -7609.8652  0.3431 
   00019    0.4460   -7628.1575  0.3459 
   00020    0.4616   -7618.7452  0.3411 
   00021    0.4436   -7705.2410  0.3493 
   00022    0.4324   -7720.4238  0.3499 
   00023    0.4488   -7715.9970  0.3479 
   00024    0.4464   -7766.4380  0.3490 
   00025    0.4548   -7803.7585  0.3448 
   00026    0.4360   -7831.1415  0.3416 
   00027    0.4560   -7883.0618  0.3385 
   00028    0.4340   -7926.2796  0.3435 
   00029    0.4320   -7941.6297  0.3432 
   00030    0.4220   -7992.4450  0.3471 
   00031    0.4412   -8046.7037  0.3532 
   00032    0.4352   -8043.4024  0.3506 
   00033    0.4424   -7997.0065  0.3532 
   00034    0.4136   -8079.5905  0.3641 
   00035    0.4212   -8060.0245  0.3600 
   00036    0.4272   -8018.8094  0.3594 
   00037    0.4132   -8075.6257  0.3588 
   00038    0.4316   -8111.4327  0.3678 
   00039    0.4304   -8160.7418  0.3712 
   00040    0.4200   -8173.3988  0.3698 
   00041    0.4104   -8198.8722  0.3773 
   00042    0.4108   -8180.1911  0.3795 
   00043    0.4096   -8179.7753  0.3817 
   00044    0.4336   -8177.9524  0.3775 
   00045    0.4288   -8238.9268  0.3833 
   00046    0.4212   -8245.1836  0.3791 
   00047    0.4276   -8258.0918  0.3748 
   00048    0.4376   -8272.9015  0.3701 
   00049    0.4328   -8240.0373  0.3807 
   00050    0.4208   -8222.7089  0.3770 
