#=====================================================
# File created:        Sat-09-Mar-2024-at-12-09-28PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.724900
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2668.5540  0.2586 
   00001    0.6744   -3814.3819  0.2514 
   00002    0.6164   -4579.3463  0.2720 
   00003    0.5760   -5119.5614  0.2832 
   00004    0.5688   -5534.7375  0.2876 
   00005    0.5368   -5907.0066  0.2924 
   00006    0.5288   -6239.0890  0.2887 
   00007    0.5028   -6433.9648  0.2910 
   00008    0.5056   -6644.7752  0.2910 
   00009    0.4688   -6799.9605  0.2916 
   00010    0.4800   -6918.2523  0.2846 
   00011    0.4888   -7032.1317  0.2919 
   00012    0.4564   -7096.7004  0.2979 
   00013    0.4664   -7198.4606  0.2953 
   00014    0.4612   -7216.7168  0.3029 
   00015    0.4644   -7313.7174  0.3006 
   00016    0.4468   -7354.9872  0.3041 
   00017    0.4468   -7416.5335  0.3045 
   00018    0.4408   -7472.7335  0.3099 
   00019    0.4440   -7534.9959  0.3115 
   00020    0.4536   -7610.9372  0.3128 
   00021    0.4308   -7621.4958  0.3089 
   00022    0.4440   -7658.5159  0.3074 
   00023    0.4444   -7690.9093  0.3125 
   00024    0.4520   -7725.2150  0.3069 
   00025    0.4244   -7710.2905  0.3081 
   00026    0.4464   -7714.3256  0.3085 
   00027    0.4504   -7783.3610  0.3198 
   00028    0.4564   -7852.0467  0.3176 
   00029    0.4428   -7868.7649  0.3188 
   00030    0.4336   -7810.2918  0.3081 
   00031    0.4416   -7862.1018  0.3113 
   00032    0.4312   -7909.4391  0.3055 
   00033    0.4308   -7921.6719  0.3055 
   00034    0.4208   -7988.0175  0.3037 
   00035    0.4304   -7984.8792  0.2997 
   00036    0.4208   -7958.5254  0.2978 
   00037    0.4384   -7954.6322  0.2972 
   00038    0.4312   -7974.0477  0.2975 
   00039    0.4376   -8005.7906  0.2947 
   00040    0.4208   -7949.3909  0.2979 
   00041    0.4368   -7941.2798  0.2980 
   00042    0.4504   -7965.7362  0.2959 
   00043    0.4336   -7983.7026  0.2966 
   00044    0.4328   -8015.9001  0.2919 
   00045    0.4256   -8043.6300  0.2915 
   00046    0.4244   -8004.9014  0.2893 
   00047    0.4268   -8037.8075  0.2907 
   00048    0.4272   -8109.9493  0.2891 
   00049    0.4296   -8109.8509  0.2917 
   00050    0.4356   -8144.9575  0.2921 
