#=====================================================
# File created:        Sun-10-Mar-2024-at-10-29-13AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.560907
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2577.0356  0.2665 
   00001    0.6800   -3843.2266  0.2600 
   00002    0.5976   -4635.3177  0.2702 
   00003    0.5924   -5182.0063  0.2803 
   00004    0.5660   -5571.9590  0.2861 
   00005    0.5436   -5933.7265  0.2982 
   00006    0.5296   -6240.5115  0.3135 
   00007    0.4980   -6451.2235  0.3177 
   00008    0.4832   -6587.3393  0.3205 
   00009    0.4952   -6707.9981  0.3129 
   00010    0.4784   -6904.4594  0.3158 
   00011    0.4728   -7014.2342  0.3112 
   00012    0.4744   -7152.1435  0.3103 
   00013    0.4520   -7274.0432  0.3112 
   00014    0.4532   -7338.5810  0.3037 
   00015    0.4628   -7387.3275  0.3082 
   00016    0.4484   -7491.3093  0.3059 
   00017    0.4444   -7570.7287  0.3017 
   00018    0.4380   -7592.5757  0.3005 
   00019    0.4440   -7701.1644  0.2967 
   00020    0.4544   -7784.0993  0.3043 
   00021    0.4348   -7747.5479  0.3032 
   00022    0.4436   -7782.8456  0.2989 
   00023    0.4292   -7803.8405  0.2953 
   00024    0.4456   -7789.1928  0.2918 
   00025    0.4256   -7865.8387  0.3016 
   00026    0.4400   -7855.0388  0.3043 
   00027    0.4432   -7891.8887  0.3083 
   00028    0.4212   -7943.9926  0.3106 
   00029    0.4396   -7961.2938  0.3142 
   00030    0.4320   -8015.2821  0.3152 
   00031    0.4344   -8002.5124  0.3156 
   00032    0.4348   -8009.1447  0.3198 
   00033    0.4356   -8015.2400  0.3176 
   00034    0.4384   -8002.9222  0.3191 
   00035    0.4300   -8016.3727  0.3226 
   00036    0.4316   -8002.3967  0.3196 
   00037    0.4208   -8037.1561  0.3248 
   00038    0.4208   -8018.9361  0.3330 
   00039    0.4344   -8010.1809  0.3270 
   00040    0.4320   -8018.9150  0.3281 
   00041    0.4412   -8024.8686  0.3223 
   00042    0.4244   -8058.5306  0.3173 
   00043    0.4264   -8093.8848  0.3138 
   00044    0.4480   -8069.8989  0.3174 
   00045    0.4328   -8036.9046  0.3151 
   00046    0.4220   -8092.0130  0.3211 
   00047    0.4292   -8074.5610  0.3309 
   00048    0.4212   -8121.8632  0.3254 
   00049    0.4164   -8120.2650  0.3301 
   00050    0.4320   -8102.8481  0.3256 
