#=====================================================
# File created:        Mon-11-Mar-2024-at-04-49-29PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        7.075921
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -6140.6226  0.2643 
   00001    0.6832   -7423.9169  0.2550 
   00002    0.6204   -8148.9482  0.2618 
   00003    0.5972   -8744.6318  0.2607 
   00004    0.5464   -9231.2109  0.2571 
   00005    0.5308   -9633.3074  0.2627 
   00006    0.5164   -9913.7066  0.2604 
   00007    0.5088  -10142.5903  0.2613 
   00008    0.4940  -10332.0079  0.2624 
   00009    0.4908  -10516.1252  0.2605 
   00010    0.4700  -10691.2769  0.2550 
   00011    0.4920  -10813.0399  0.2609 
   00012    0.4684  -10879.7260  0.2632 
   00013    0.4736  -10997.4712  0.2642 
   00014    0.4512  -11060.7595  0.2732 
   00015    0.4540  -11122.1052  0.2699 
   00016    0.4608  -11253.9056  0.2615 
   00017    0.4384  -11303.7455  0.2552 
   00018    0.4596  -11375.1750  0.2589 
   00019    0.4476  -11424.4460  0.2544 
   00020    0.4572  -11435.8153  0.2627 
   00021    0.4284  -11461.2353  0.2651 
   00022    0.4272  -11488.4885  0.2701 
   00023    0.4300  -11536.4657  0.2706 
   00024    0.4252  -11509.3142  0.2636 
   00025    0.4424  -11562.0249  0.2566 
   00026    0.4552  -11603.8044  0.2569 
   00027    0.4316  -11578.0403  0.2572 
   00028    0.4404  -11595.1162  0.2524 
   00029    0.4448  -11640.2622  0.2606 
   00030    0.4364  -11642.8007  0.2649 
   00031    0.4264  -11626.1381  0.2698 
   00032    0.4372  -11623.1101  0.2671 
   00033    0.4376  -11671.3294  0.2658 
   00034    0.4352  -11723.2026  0.2667 
   00035    0.4076  -11712.7181  0.2577 
   00036    0.4348  -11741.4056  0.2593 
   00037    0.4268  -11792.0959  0.2540 
   00038    0.4208  -11780.9797  0.2554 
   00039    0.4312  -11765.2271  0.2634 
   00040    0.4360  -11733.3639  0.2580 
   00041    0.4324  -11720.2372  0.2603 
   00042    0.4328  -11743.0733  0.2672 
   00043    0.4324  -11774.2669  0.2685 
   00044    0.4148  -11743.9108  0.2661 
   00045    0.4368  -11779.3505  0.2694 
   00046    0.4276  -11753.8480  0.2619 
   00047    0.4240  -11768.0897  0.2587 
   00048    0.4420  -11784.9479  0.2566 
   00049    0.4204  -11844.9595  0.2613 
   00050    0.4280  -11867.4625  0.2614 
