#=====================================================
# File created:        Sun-10-Mar-2024-at-05-50-45PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.298214
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2473.5478  0.2794 
   00001    0.7016   -3581.8460  0.2849 
   00002    0.6200   -4397.0161  0.3030 
   00003    0.5852   -4866.7228  0.2992 
   00004    0.5788   -5366.3890  0.3089 
   00005    0.5580   -5713.7355  0.3203 
   00006    0.5124   -6019.8684  0.3300 
   00007    0.5228   -6242.7596  0.3343 
   00008    0.5084   -6503.4977  0.3397 
   00009    0.4940   -6690.3565  0.3449 
   00010    0.4772   -6798.4458  0.3518 
   00011    0.4800   -6892.4678  0.3514 
   00012    0.4708   -7047.2773  0.3609 
   00013    0.4860   -7084.7737  0.3678 
   00014    0.4536   -7165.4208  0.3745 
   00015    0.4676   -7259.1114  0.3870 
   00016    0.4648   -7315.1622  0.3949 
   00017    0.4612   -7418.5186  0.4002 
   00018    0.4624   -7479.0272  0.3996 
   00019    0.4280   -7515.1172  0.4031 
   00020    0.4416   -7530.8493  0.4042 
   00021    0.4432   -7575.9764  0.3994 
   00022    0.4656   -7655.6053  0.3993 
   00023    0.4404   -7690.7355  0.4003 
   00024    0.4512   -7735.2636  0.3967 
   00025    0.4340   -7746.8057  0.4055 
   00026    0.4404   -7789.6663  0.4070 
   00027    0.4276   -7814.5555  0.4063 
   00028    0.4304   -7857.2065  0.4117 
   00029    0.4248   -7904.0440  0.4130 
   00030    0.4204   -7908.7584  0.4157 
   00031    0.4176   -7925.9649  0.4162 
   00032    0.4488   -7969.1057  0.4149 
   00033    0.4296   -8003.7282  0.4152 
   00034    0.4340   -8020.5706  0.4195 
   00035    0.4224   -8020.5574  0.4192 
   00036    0.4512   -7996.7739  0.4149 
   00037    0.4192   -8047.3936  0.4161 
   00038    0.4324   -8073.9187  0.4091 
   00039    0.4260   -8083.0070  0.4113 
   00040    0.4360   -8059.3148  0.4131 
   00041    0.4256   -8055.9450  0.4204 
   00042    0.4112   -8041.8845  0.4134 
   00043    0.4320   -8070.1027  0.4197 
   00044    0.4344   -8094.5710  0.4187 
   00045    0.4280   -8065.4319  0.4200 
   00046    0.4220   -8076.9858  0.4216 
   00047    0.4236   -8061.6185  0.4198 
   00048    0.4400   -8073.8138  0.4190 
   00049    0.4292   -8126.4944  0.4210 
   00050    0.4116   -8154.0559  0.4204 
