#=====================================================
# File created:        Tue-12-Mar-2024-at-09-08-07PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        41.890315
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -24970.8580  0.2576 
   00001    0.6758  -29827.7902  0.2617 
   00002    0.6154  -33140.5326  0.2676 
   00003    0.5855  -35470.0907  0.2705 
   00004    0.5452  -37189.7133  0.2749 
   00005    0.5300  -38566.2125  0.2777 
   00006    0.5172  -39628.9236  0.2849 
   00007    0.5081  -40522.7982  0.2857 
   00008    0.4896  -41278.8229  0.2855 
   00009    0.4906  -41915.8911  0.2875 
   00010    0.4846  -42488.5391  0.2930 
   00011    0.4794  -43063.2899  0.2941 
   00012    0.4668  -43440.1190  0.2963 
   00013    0.4622  -43868.6952  0.2951 
   00014    0.4604  -44217.0032  0.2939 
   00015    0.4573  -44402.2837  0.2977 
   00016    0.4513  -44678.4219  0.2985 
   00017    0.4504  -44923.9760  0.3021 
   00018    0.4537  -45167.8057  0.3051 
   00019    0.4520  -45455.8613  0.3031 
   00020    0.4421  -45694.5528  0.3040 
   00021    0.4385  -45776.0742  0.3056 
   00022    0.4361  -45937.4998  0.3060 
   00023    0.4541  -46022.0890  0.3106 
   00024    0.4425  -46059.2400  0.3108 
   00025    0.4450  -46181.9371  0.3096 
   00026    0.4336  -46312.8611  0.3084 
   00027    0.4387  -46343.8616  0.3092 
   00028    0.4366  -46470.2979  0.3104 
   00029    0.4308  -46623.7238  0.3097 
   00030    0.4286  -46718.4499  0.3123 
   00031    0.4398  -46789.2756  0.3118 
   00032    0.4328  -46821.0330  0.3169 
   00033    0.4330  -46930.2601  0.3151 
   00034    0.4282  -46920.0566  0.3159 
   00035    0.4327  -47016.3404  0.3200 
   00036    0.4289  -47138.8339  0.3218 
   00037    0.4253  -47142.0137  0.3222 
   00038    0.4200  -47000.9664  0.3242 
   00039    0.4301  -47076.5309  0.3243 
   00040    0.4251  -47126.9265  0.3253 
   00041    0.4266  -47201.6882  0.3270 
   00042    0.4232  -47223.5212  0.3248 
   00043    0.4279  -47237.4296  0.3278 
   00044    0.4262  -47314.8239  0.3263 
   00045    0.4185  -47351.4483  0.3248 
   00046    0.4323  -47424.9843  0.3231 
   00047    0.4305  -47482.0091  0.3222 
   00048    0.4202  -47517.3127  0.3207 
   00049    0.4269  -47571.2214  0.3202 
   00050    0.4284  -47585.5790  0.3167 
